canonical_term,category,quality_flags,details,source_count,official_sources,source_documents,aliases,confidence
Dolcetto d’Alba,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Dolcetto d’Alba,high
IGP Pays d’Oc,appellation,duplicate_alias; needs_human_review; possible_ocr_issue,duplicate_alias | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Pays d'Oc,high
Médoc,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Medoc,high
Pessac-Léognan,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Pessac-Leognan,high
Pouilly-Fumé,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Pouilly-Fume,high
Saint-Estèphe,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Saint-Estephe,high
Saint-Émilion,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Saint-Emilion,high
Savennières,appellation,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Savennieres,high
altitude,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
continental climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
continentality,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
cool climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
diurnal range,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
fog,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
hot climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
latitude,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
maritime climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Mediterranean climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
rainfall,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
soil,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
sunlight,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
temperature,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
warm climate,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
water,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
weather,climate,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Airén,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Airen,high
Albariño,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Albarino,high
Aligoté,grape_variety,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Aligote,medium
Blaufränkisch,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Blaufrankisch,high
Cariñena,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Carinena,high
Carmenère,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Carmenere,high
Grüner Veltliner,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Gruner Veltliner,high
Hárslevelű,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Harslevelu,high
Mencía,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Mencia,high
Mourvèdre,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Mourvedre,high
Muscat Blanc à Petits Grains,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Muscat Blanc a Petits Grains,high
Müller-Thurgau,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Muller-Thurgau,high
Nero d’Avola,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Nero d’Avola,high
Pedro Ximénez,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Pedro Ximenez,high
Semillon,grape_variety,alias_collision; conflicting_confidence; needs_human_review; possible_ocr_issue,"Semillon -> Semillon/grape_variety, Sémillon/grape_variety | conflicting_confidence | needs_human_review | possible_ocr_issue",2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Semillon,high
Spätburgunder,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Spatburgunder,high
Sémillon,grape_variety,alias_collision; duplicate_alias; needs_human_review; possible_ocr_issue,"Semillon -> Semillon/grape_variety, Sémillon/grape_variety | duplicate_alias | needs_human_review | possible_ocr_issue",2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Semillon,high
Tinto Cão,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Tinto Cao,high
Torrontés,grape_variety,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Torrontes,high
Aconcagua Region,region,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Aconcagua Region,high
Burgundy,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Canada,region,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Canada,high
Central Italy,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Dordogne,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Greece,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Italy,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Languedoc-Roussillon,region,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Languedoc and Roussillon,medium
Loire Valley,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Mosel,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
New Zealand,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Northern Italy,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Northern Rhône,region,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Northern Rhone,medium
Oregon,region,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Oregon,high
Rhône,region,conflicting_confidence; needs_human_review; possible_ocr_issue,conflicting_confidence | needs_human_review | possible_ocr_issue,2,specification; study-guide,WSET_L3_Specification_Official_2026.pdf; WSET_L3_Study_Guide_Official_2026.pdf,Rhone,high
South Africa,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Southern France,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Southern Italy,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Southern Rhône,region,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,Southern Rhone,medium
Spain,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Tuscany,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
USA,region,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
acidity,sat_term,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
balance,sat_term,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
complexity,sat_term,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Mousse,sat_term,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
tannin,sat_term,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
acidification,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
alcoholic fermentation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
anaerobic winemaking,vinification,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,anaerobicw inemaking,medium
autolysis,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
barrel,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
blending,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
carbonation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
carbonic maceration,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
chaptalisation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
clarification,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
crushing,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
deacidification,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
destemming,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
fermentation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
filtration,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
fining,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
fortification,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
free run juice,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
lees ageing,vinification,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,lees contact,medium
malolactic conversion,vinification,needs_human_review; possible_ocr_issue,needs_human_review | possible_ocr_issue,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,malolactic fermentation; MLF,medium
malolactic fermentation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
maturation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
oak,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
oxidation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
pressing,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
pumping over,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
punching down,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
rack and return,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
racking,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
red winemaking,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
reduction,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
riddling,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
second alcoholic fermentation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
sedimentation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
semi-carbonic maceration,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
skin contact,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
sorting,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
stabilisation,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
traditional method,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
transfer method,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
white winemaking,vinification,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
whole bunch fermentation,vinification,alias_collision; ambiguous_category; needs_human_review; possible_ocr_issue,"categories: vinification, viticulture | whole bunch -> whole bunch fermentation/vinification, whole bunch fermentation/viticulture | needs_human_review | possible_ocr_issue",1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,whole bunch,medium
bench grafting,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
Botrytis cinerea,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
budburst,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
canopy management,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
crossings,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
density of planting,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
diseases,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
flowering,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
frost,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
fruit set,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
fungal diseases,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
grafting,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
grey rot,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
hail,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
hand harvesting,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
harvest,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
hybrids,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
irrigation,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
nematodes,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
noble rot,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
one-year-old wood,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
organic agriculture,viticulture,conflicting_confidence; needs_human_review,conflicting_confidence | needs_human_review,1,study-guide,WSET_L3_Study_Guide_Official_2026.pdf,,medium
